Sensor,Time Point,value
DC21410602,2022-01-20 18:00:00,0.0
DC21410602,2022-01-20 19:00:00,0.0
DC21410602,2022-01-20 20:00:00,0.0
DC21410602,2022-01-20 21:00:00,0.0
DC21410602,2022-01-20 22:00:00,0.01
DC21410602,2022-01-20 23:00:00,0.0
DC21410602,2022-01-21 00:00:00,0.0
DC21410602,2022-01-21 01:00:00,0.0
DC21410602,2022-01-21 02:00:00,0.0
DC21410602,2022-01-21 03:00:00,0.0
DC21410602,2022-01-21 04:00:00,0.0
DC21410602,2022-01-21 05:00:00,0.0
DC21410602,2022-01-21 06:00:00,0.0
DC21410602,2022-01-21 07:00:00,0.0
DC21410602,2022-01-21 08:00:00,0.0
DC21410602,2022-01-21 09:00:00,0.0
DC21410602,2022-01-21 10:00:00,0.0
DC21410602,2022-01-21 11:00:00,0.0
DC21410602,2022-01-21 12:00:00,0.0
DC21410602,2022-01-21 13:00:00,0.0
DC21410602,2022-01-21 14:00:00,0.0
DC21410602,2022-01-21 15:00:00,0.0
DC21410602,2022-01-21 16:00:00,0.0
DC21410602,2022-01-21 17:00:00,0.0
DC21410602,2022-01-21 18:00:00,0.0
DC21410602,2022-01-21 19:00:00,0.0
DC21410602,2022-01-21 20:00:00,0.0
DC21410602,2022-01-21 21:00:00,0.04
DC21410602,2022-01-21 22:00:00,0.22
DC21410602,2022-01-21 23:00:00,1.46
DC21410602,2022-01-22 00:00:00,2.65
DC21410602,2022-01-22 01:00:00,3.35
DC21410602,2022-01-22 02:00:00,4.05
DC21410602,2022-01-22 03:00:00,4.41
DC21410602,2022-01-22 04:00:00,4.54
DC21410602,2022-01-22 05:00:00,4.48
DC21410602,2022-01-22 06:00:00,4.57
DC21410602,2022-01-22 07:00:00,4.46
DC21410602,2022-01-22 08:00:00,3.91
DC21410602,2022-01-22 09:00:00,3.49
DC21410602,2022-01-22 10:00:00,3.11
DC21410602,2022-01-22 11:00:00,2.54
DC21410602,2022-01-22 12:00:00,2.04
DC21410602,2022-01-22 13:00:00,1.22
DC21410602,2022-01-22 14:00:00,0.87
DC21410602,2022-01-22 15:00:00,0.72
DC21410602,2022-01-22 16:00:00,0.51
DC21410602,2022-01-22 17:00:00,0.35
DC21410602,2022-01-22 18:00:00,0.87
DC21410602,2022-01-22 19:00:00,1.83
DC21410602,2022-01-22 20:00:00,3.02
DC21410602,2022-01-22 21:00:00,3.76
DC21410602,2022-01-22 22:00:00,4.36
