Sensor,Time Point,value
DC21410602,2022-01-26 02:00:00,418.53
DC21410602,2022-01-26 03:00:00,419.23
DC21410602,2022-01-26 04:00:00,420.14
DC21410602,2022-01-26 05:00:00,426.37
DC21410602,2022-01-26 06:00:00,428.47
DC21410602,2022-01-26 07:00:00,433.13
DC21410602,2022-01-26 08:00:00,445.53
DC21410602,2022-01-26 09:00:00,462.66
DC21410602,2022-01-26 10:00:00,468.17
DC21410602,2022-01-26 11:00:00,463.84
DC21410602,2022-01-26 12:00:00,478.28
DC21410602,2022-01-26 13:00:00,462.63
DC21410602,2022-01-26 14:00:00,458.91
DC21410602,2022-01-26 15:00:00,440.4
DC21410602,2022-01-26 16:00:00,434.2
