Sensor,Time Point,value
DC21410602,2022-01-24 02:00:00,16.09
DC21410602,2022-01-24 03:00:00,16.39
DC21410602,2022-01-24 04:00:00,16.74
DC21410602,2022-01-24 05:00:00,16.98
DC21410602,2022-01-24 06:00:00,17.04
DC21410602,2022-01-24 07:00:00,16.89
DC21410602,2022-01-24 08:00:00,16.68
DC21410602,2022-01-24 09:00:00,16.53
DC21410602,2022-01-24 10:00:00,16.41
DC21410602,2022-01-24 11:00:00,16.26
DC21410602,2022-01-24 12:00:00,16.01
DC21410602,2022-01-24 13:00:00,16.02
DC21410602,2022-01-24 14:00:00,16.05
DC21410602,2022-01-24 15:00:00,16.14
DC21410602,2022-01-24 16:00:00,16.34
DC21410602,2022-01-24 17:00:00,16.59
DC21410602,2022-01-24 18:00:00,16.82
DC21410602,2022-01-24 19:00:00,17.02
DC21410602,2022-01-24 20:00:00,17.25
DC21410602,2022-01-24 21:00:00,17.52
DC21410602,2022-01-24 22:00:00,17.69
DC21410602,2022-01-24 23:00:00,17.91
DC21410602,2022-01-25 00:00:00,18.1
DC21410602,2022-01-25 01:00:00,18.26
DC21410602,2022-01-25 02:00:00,18.43
DC21410602,2022-01-25 03:00:00,18.53
DC21410602,2022-01-25 04:00:00,18.52
DC21410602,2022-01-25 05:00:00,18.53
DC21410602,2022-01-25 06:00:00,18.65
DC21410602,2022-01-25 07:00:00,18.77
DC21410602,2022-01-25 08:00:00,18.9
DC21410602,2022-01-25 09:00:00,18.92
DC21410602,2022-01-25 10:00:00,18.95
DC21410602,2022-01-25 11:00:00,19.04
DC21410602,2022-01-25 12:00:00,19.26
DC21410602,2022-01-25 13:00:00,19.47
DC21410602,2022-01-25 14:00:00,19.6
DC21410602,2022-01-25 15:00:00,19.68
DC21410602,2022-01-25 16:00:00,19.44
DC21410602,2022-01-25 17:00:00,18.99
DC21410602,2022-01-25 18:00:00,18.52
DC21410602,2022-01-25 19:00:00,18.0
DC21410602,2022-01-25 20:00:00,17.88
DC21410602,2022-01-25 21:00:00,17.65
DC21410602,2022-01-25 22:00:00,17.28
DC21410602,2022-01-25 23:00:00,16.78
DC21410602,2022-01-26 00:00:00,16.31
DC21410602,2022-01-26 01:00:00,15.91
DC21410602,2022-01-26 02:00:00,15.49
DC21410602,2022-01-26 03:00:00,15.46
DC21410602,2022-01-26 04:00:00,15.56
DC21410602,2022-01-26 05:00:00,15.9
DC21410602,2022-01-26 06:00:00,15.01
DC21410602,2022-01-26 07:00:00,15.01
DC21410602,2022-01-26 08:00:00,14.73
DC21410602,2022-01-26 09:00:00,14.37
DC21410602,2022-01-26 10:00:00,14.02
DC21410602,2022-01-26 11:00:00,13.83
DC21410602,2022-01-26 12:00:00,13.74
DC21410602,2022-01-26 13:00:00,13.53
DC21410602,2022-01-26 14:00:00,13.36
DC21410602,2022-01-26 15:00:00,13.24
DC21410602,2022-01-26 16:00:00,13.03
